cusA_accountIDX, neg_limit
"42127628213148858615", 10000
"03612574402294571463", 2000
"01669170953004038843", 10000
"50455326572636524656", 2000
"80162671741038660966", 2000
"27269349171821199410", 10000
"14820955344935565337", 1000
"09297851374795359996", 2000
"43223635991768896863", 1000
"65597008904555638201", 2000
"34815807942417756868", 1000
"19536621450078275419", 2000
"93975134186974441838", 2000
"54640018969048096292", 2000
"16998738148453955366", 2000
"38404269420146498260", 2000
"26563540044257071366", 2000
"12921545892450333777", 1000
"58829790481211361068", 10000
"80736080932925620416", 2000
"39689544668284337851", 1000
"04103829693346781195", 5000
"57521070162525607258", 5000
"95436629783725620818", 10000
"78284306205192938409", 5000
"33314465374740938987", 10000
"84024866139076658951", 2000
"44137930534561215065", 1000
"79157580915057719559", 5000
"14126422478588521348", 5000
"13955469505941037040", 2000
"92327240342068816781", 5000
"86220435372226464096", 10000
"69681072703913336203", 5000
"43458968171834434891", 2000
"03882526372025886497", 2000
"34072082468689121718", 10000
"27075071245107005442", 5000
"02695303332480078610", 10000
"53031167972222232658", 10000
"56393861366222314685", 5000
"91977118695891524567", 2000
"80817344558240059352", 1000
"39641761841195970800", 2000
"88831371746684784006", 5000
"06981093162247050650", 2000
"86229796594555106560", 5000
"21132759747937034351", 10000
"27087348237774179992", 10000
"39471988461083736329", 2000
"89444829923965149959", 10000
"97530760281596583776", 2000
"53413679360160287079", 5000
"20268371070371652460", 10000
"20586554424632928031", 5000
"17342042675435715330", 2000
"77569660868755165677", 5000
"29913973074240381288", 2000
"08605613610135276180", 2000
"29719765401639665039", 10000
"38611215527419394762", 2000
"96770984405437413607", 5000
"44278088983509202667", 2000
"91122197239571121976", 10000
"87972350497985502500", 5000
"99614916918770554372", 10000
"65296993318744572614", 1000
"25328454487608160659", 1000
"72492908426434953975", 10000
"13834631267514900330", 2000
"79120795299185540127", 2000
"56582779578724316004", 2000
"07525217795785654508", 2000
"73829122456469314834", 1000
"65223578690860012484", 1000
"76789232634116270134", 10000
"59150646909889994499", 2000
"40721193303658101899", 5000
"80835387324636216674", 1000
"76984524062650832981", 10000
"69637590057258604123", 10000
"32171256475787051237", 5000
"01153521024412140444", 10000
"96394333983496434177", 10000
"32355307493802308471", 10000
"62122790653690755026", 10000
"16496619202666485868", 2000
"83919306476741300584", 10000
"65615093284293204232", 1000
"52556059874292459798", 5000
"46171268475517386303", 2000
"03993410592616518166", 5000
"96101278939029386991", 10000
"50156847339717608097", 2000
"02761019985603894445", 1000
"17541368257584883168", 2000
"88000013106480496150", 10000
"26324632910219980503", 10000
"13526501979085615548", 1000
"01146099792921980327", 2000
"44424390642282796163", 2000
"49677649471576549625", 1000
"11415880675865330818", 2000
"37858195929171510861", 2000
"64757550057924919442", 5000
"16315639108744276696", 5000
"84911119712866134785", 1000
"11938639449489163721", 1000
"71045580026476656677", 5000
"93960060687863762858", 2000
"69735902926400396289", 10000
"70755619654816676205", 10000
"48677776162327438355", 1000
"83170653912693677629", 5000
"65856221783420529815", 5000
"46641644274455134513", 5000
"86911099674026357872", 10000
"53356755119680199664", 5000
"40100137913078683717", 1000
"27537054507839345885", 5000
"86056827605600460334", 5000
"48017510255982615772", 1000
"45477869849228424927", 10000
"31538568953713446787", 2000
"06631802277345457063", 1000
"35961288545988562634", 1000
"45967119674154610199", 1000
"66601727456442930278", 2000
"46026413360337412404", 2000
"31826867378244988292", 10000
"64950261329707091937", 5000
"76179415113740264512", 2000
"33025774753553152540", 10000
"07346223086310751372", 10000
"77048861373597020123", 10000
"54704629814171195122", 10000
"55599377523565959846", 1000
"10300562123272763912", 1000
"26635287486829675174", 5000
"38745544939462523983", 5000
"21295368642592426348", 2000
"37425033698974166164", 1000
"70649030270450637658", 2000
"75876371651685369511", 5000
"47053122798328175306", 1000
"86049309034962695845", 1000
"84394686674916504130", 2000
"04450324956110293526", 2000
"60963077135135784239", 5000
"30077913945831955708", 1000
"69536357262166247322", 1000
"45144640178442826839", 5000
"60782338574064581209", 10000
"66124434295440942665", 2000
"65312838959501530356", 1000
"08286194777577155911", 1000
"28462888669267030798", 1000
"94176106954054352116", 5000
"10463139584051457054", 5000
"77568824115918063929", 2000
"14719922320935541803", 10000
"14659191040683757464", 2000
"23459000896698164085", 5000
"32740778166591413072", 2000
"42261826458466299085", 1000
"86983879662486105426", 10000
"12350726455747104791", 1000
"09625620889474945867", 2000
"84023754208319258041", 1000
"12361114218170392337", 1000
"41567119398585997161", 1000
"69887910950634407786", 1000
"76956066101101706400", 1000
"14203647019230092864", 1000
"75216116094675373254", 2000
"06648195087955436407", 1000
"17584633278763797584", 1000
"62800933619135977042", 1000
"32317856760747386036", 2000
"92824633451761723463", 1000
"15963736045577692433", 5000
"10640992587751737370", 2000
"07710224693639234989", 2000
"29104725565100215246", 5000
"42899003754933463782", 2000
"33362411121351927089", 1000
"95765970595973357192", 10000
"63530759022714235507", 10000
"95820611512910663691", 2000
"80473308123602753578", 10000
"97614885603720967036", 5000
"45200579519208663440", 1000
"41335048711011863724", 5000
"68206310296478477293", 1000
"84270280848048347870", 1000
"06218359016072475415", 10000
"78909060354941267769", 1000
"60182030140527327681", 5000
"40512046296347960926", 5000
"82614509783887179601", 2000
"52155196055101870871", 2000
"27716271540735566005", 10000
"30492395914159613134", 10000
"06535449935002972040", 10000
"44828126342706873713", 2000
"74062801947654263722", 2000
"53720898602749192299", 2000
"53855771808025121149", 5000
"97217655570823362373", 10000
