cust_customID, cheq_cusA_accountIDX
"221403200111026688", "42127628213148858615"
"221621198312011012", "03612574402294571463"
"410403200809128727", "03612574402294571463"
"410403200809128727", "42127628213148858615"
"221621198207268937", "42127628213148858615"
"221621198608107091", "01669170953004038843"
"221621198608107091", "03612574402294571463"
"221403200601113803", "50455326572636524656"
"221403199508261581", "80162671741038660966"
"221403199801106433", "27269349171821199410"
"221621200206057799", "14820955344935565337"
"221621200206057799", "09297851374795359996"
"221621200206057799", "43223635991768896863"
"221403198808023348", "65597008904555638201"
"221403198808023348", "27269349171821199410"
"443621198102100826", "34815807942417756868"
"443621198102100826", "27269349171821199410"
"443403201004040529", "50455326572636524656"
"443403201004040529", "65597008904555638201"
"443403201004040529", "19536621450078275419"
"410403200610089721", "65597008904555638201"
"410403200610089721", "93975134186974441838"
"410403200610089721", "19536621450078275419"
"221621200902066315", "54640018969048096292"
"221621200902066315", "16998738148453955366"
"221621200902066315", "38404269420146498260"
"221621199405110788", "26563540044257071366"
"221403198410118335", "12921545892450333777"
"221403198410118335", "65597008904555638201"
"221403198410118335", "93975134186974441838"
"221403198410118335", "19536621450078275419"
"410403200805032331", "09297851374795359996"
"221621200704041894", "26563540044257071366"
"443621198601037101", "42127628213148858615"
"221621199101224565", "14820955344935565337"
"221621199101224565", "58829790481211361068"
"221621199101224565", "38404269420146498260"
"221621198909173366", "65597008904555638201"
"221621198909173366", "03612574402294571463"
"410621200903269484", "80736080932925620416"
"410621200903269484", "16998738148453955366"
"410621200903269484", "42127628213148858615"
"410621200011215796", "26563540044257071366"
"410621200011215796", "09297851374795359996"
"443403198907044093", "39689544668284337851"
"443403198907044093", "04103829693346781195"
"443403198907044093", "38404269420146498260"
"410621200107245805", "54640018969048096292"
"410621200107245805", "09297851374795359996"
"410621200107245805", "57521070162525607258"
"221621198003254041", "95436629783725620818"
"443621198410177416", "78284306205192938409"
"443621200711253031", "33314465374740938987"
"443621200711253031", "65597008904555638201"
"443621200711253031", "43223635991768896863"
"410621201011023342", "84024866139076658951"
"410621201011023342", "19536621450078275419"
"410621201008223917", "54640018969048096292"
"410621201008223917", "44137930534561215065"
"443621198210153008", "57521070162525607258"
"410621199711038692", "43223635991768896863"
"443621198006228046", "39689544668284337851"
"443621198006228046", "54640018969048096292"
"443621198006228046", "93975134186974441838"
"443621198006228046", "38404269420146498260"
"221621198101150929", "79157580915057719559"
"221621198101150929", "80736080932925620416"
"221621198101150929", "27269349171821199410"
"410621199011073060", "79157580915057719559"
"410621199011073060", "14126422478588521348"
"443621200011110951", "13955469505941037040"
"443621200011110951", "42127628213148858615"
"410403199703041817", "12921545892450333777"
"410403199703041817", "92327240342068816781"
"221621200406060581", "65597008904555638201"
"221621200406060581", "86220435372226464096"
"410621198908207989", "69681072703913336203"
"410621198908207989", "43458968171834434891"
"410621200003112951", "84024866139076658951"
"410621200003112951", "43458968171834434891"
"221621199305173034", "79157580915057719559"
"221621199305173034", "03882526372025886497"
"221621199305173034", "16998738148453955366"
"221621199305173034", "34072082468689121718"
"443621200708160506", "27075071245107005442"
"443621200708160506", "58829790481211361068"
"443621200708160506", "02695303332480078610"
"410621198805095468", "65597008904555638201"
"410403198810230356", "53031167972222232658"
"410403198810230356", "56393861366222314685"
"410403198810230356", "43223635991768896863"
"221621199807111201", "44137930534561215065"
"443403199410091378", "79157580915057719559"
"443403199410091378", "91977118695891524567"
"443403199410091378", "19536621450078275419"
"410403199103174357", "80817344558240059352"
"410403199103174357", "39641761841195970800"
"410403199103174357", "19536621450078275419"
"410403198211200461", "88831371746684784006"
"410403198211200461", "42127628213148858615"
"410403200906066821", "06981093162247050650"
"410403200906066821", "86229796594555106560"
"410403200906066821", "21132759747937034351"
"410403200906066821", "78284306205192938409"
