accountIDX, bran_branchName, staf_staffID, remain, visitTime, openTime, accountType
"78876791088028343571", "安徽省分行", "221403198804060721", 104533, "2019-06-12", "2006-3-24", "cheque"
"78192667718486236207", "北京分行", "443621198002121860", 86388, "2019-06-12", "2008-10-25", "deposit"
"25013924219904095053", "上海分行", "221403198703127098", 161095, "2019-06-12", "2008-7-15", "cheque"
"25579634289754236037", "南京分行", "410403199404039386", 182508, "2019-06-12", "2014-7-5", "cheque"
"34195275092074465256", "南京分行", "221403199302058371", 147694, "2019-06-12", "2005-8-10", "deposit"
"47766892980663580417", "上海分行", "221621198203108554", 154175, "2019-06-12", "2010-7-15", "cheque"
"33846495183981778925", "上海分行", "410403198510172052", 100175, "2019-06-12", "2017-2-10", "deposit"
"84894764006567742023", "北京分行", "410621198707098989", 72284, "2019-06-12", "2013-5-18", "cheque"
"78814604600230827085", "南京分行", "443621199803054689", 96962, "2019-06-12", "2009-4-1", "cheque"
"42523883445942692529", "南京分行", "221403200002241488", 90758, "2019-06-12", "2014-4-4", "deposit"
"66758878794927728186", "南京分行", "221621199305182178", 154589, "2019-06-12", "2016-4-14", "cheque"
"21635955884881412692", "北京分行", "221403198804060721", 14188, "2019-06-12", "2010-6-22", "deposit"
"73658873326693455831", "南京分行", "410403198910059218", 184578, "2019-06-12", "2010-4-9", "cheque"
"90905003624797548174", "北京分行", "443621198805246314", 46000, "2019-06-12", "2009-4-4", "cheque"
"79338012730952685532", "上海分行", "410403200408250955", 133762, "2019-06-12", "2006-9-19", "cheque"
"72631638991206935520", "北京分行", "410403199110059027", 74489, "2019-06-12", "2007-2-15", "cheque"
"23508038534015398886", "南京分行", "410621199801110287", 161269, "2019-06-12", "2006-5-8", "cheque"
"92307998117425720087", "南京分行", "410403200406038169", 186032, "2019-06-12", "2009-2-25", "deposit"
"36490749313156401927", "南京分行", "443403199008178877", 116265, "2019-06-12", "2014-12-23", "cheque"
"73339235224618702002", "北京分行", "443621198002121860", 127399, "2019-06-12", "2013-11-25", "cheque"
"83412414847144727679", "北京分行", "221403198802091960", 40384, "2019-06-12", "2012-7-13", "deposit"
"91178412778439802154", "南京分行", "443621198606124130", 191832, "2019-06-12", "2016-3-27", "deposit"
"77836668187453648959", "南京分行", "443403199808234179", 96024, "2019-06-12", "2005-8-11", "deposit"
"19561478003056653177", "安徽省分行", "221621198604081833", 74913, "2019-06-12", "2006-9-17", "cheque"
"97080878505768206668", "上海分行", "221403198804060721", 103832, "2019-06-12", "2016-10-6", "deposit"
"39334340722515745556", "南京分行", "443403198206257361", 150524, "2019-06-12", "2007-7-19", "cheque"
"41120093857795282063", "安徽省分行", "443403199808234179", 109539, "2019-06-12", "2007-5-20", "deposit"
"95456063153709282927", "北京分行", "443621199911228559", 55289, "2019-06-12", "2015-9-2", "cheque"
"49605531462023779577", "北京分行", "443621198002121860", 89681, "2019-06-12", "2011-1-20", "deposit"
"06449333849912658286", "南京分行", "221621198606014804", 162819, "2019-06-12", "2013-9-1", "cheque"
"03117724803098075267", "南京分行", "443403198702151939", 55625, "2019-06-12", "2013-1-7", "deposit"
"43053407118932466538", "安徽省分行", "221403200002241488", 97800, "2019-06-12", "2007-5-2", "cheque"
"59913791632145422098", "北京分行", "443621199911228559", 153997, "2019-06-12", "2012-9-24", "cheque"
"28426961210453503871", "上海分行", "221403198901078444", 158642, "2019-06-12", "2012-4-26", "deposit"
"88201695610282394302", "南京分行", "443621198805246314", 58136, "2019-06-12", "2017-4-22", "cheque"
"04976409669915798078", "北京分行", "443621200602025313", 93056, "2019-06-12", "2006-3-10", "cheque"
"76314819681292055036", "安徽省分行", "443403200809252150", 144270, "2019-06-12", "2017-6-19", "deposit"
"54554937023820217214", "北京分行", "410403200406038169", 81001, "2019-06-12", "2014-1-22", "deposit"
"56235678895221890466", "安徽省分行", "443403198206257361", 44055, "2019-06-12", "2005-1-7", "deposit"
"10240490072293325324", "北京分行", "443403199808234179", 99727, "2019-06-12", "2011-6-15", "cheque"
"23111716149304889690", "上海分行", "410403200901147844", 63625, "2019-06-12", "2005-11-26", "deposit"
"95713891604439879813", "南京分行", "221621198207240922", 103084, "2019-06-12", "2008-12-6", "cheque"
"64638508125341225461", "南京分行", "443621200602025313", 126533, "2019-06-12", "2005-5-20", "deposit"
"25905577048470555656", "北京分行", "443621198002228689", 48898, "2019-06-12", "2015-12-12", "deposit"
"94944630703196604462", "上海分行", "410621199902020858", 143009, "2019-06-12", "2014-3-17", "deposit"
"13127556167601336913", "南京分行", "221621201001208620", 70869, "2019-06-12", "2014-12-24", "cheque"
"17578624137633075495", "北京分行", "410621199902020858", 39206, "2019-06-12", "2013-1-27", "deposit"
"62474802940611462721", "上海分行", "410621198905253780", 91144, "2019-06-12", "2017-6-13", "deposit"
"45104681181011517662", "安徽省分行", "221403198802091960", 104158, "2019-06-12", "2005-3-27", "deposit"
"83686495344076946613", "安徽省分行", "221403198703127098", 130834, "2019-06-12", "2017-9-10", "cheque"
"60834236423892813793", "北京分行", "221403198108134823", 64565, "2019-06-12", "2007-1-27", "cheque"
"58285610685311919183", "南京分行", "443621199803054689", 40310, "2019-06-12", "2008-5-2", "cheque"
"99123685855838882938", "南京分行", "410403200408250955", 132601, "2019-06-12", "2006-4-26", "deposit"
"06114623088991625919", "南京分行", "221403198901078444", 89797, "2019-06-12", "2007-2-10", "deposit"
"42607851463953188836", "上海分行", "221621201001208620", 12050, "2019-06-12", "2007-4-27", "cheque"
"56822296122969600380", "上海分行", "443403198206257361", 4818, "2019-06-12", "2008-4-22", "deposit"
"40611138907762669190", "南京分行", "443621200602025313", 152894, "2019-06-12", "2017-7-6", "cheque"
"43525499301601919210", "南京分行", "221621199307117823", 22424, "2019-06-12", "2008-1-4", "deposit"
"64827374044214097881", "北京分行", "221621198207240922", 165142, "2019-06-12", "2009-8-3", "cheque"
"48574994094440380786", "南京分行", "410621199305255221", 155223, "2019-06-12", "2014-1-24", "cheque"
"29037003286254697844", "北京分行", "221621200304171204", 71990, "2019-06-12", "2013-2-22", "cheque"
"55355805704482663146", "上海分行", "410403199209013383", 33764, "2019-06-12", "2011-4-11", "deposit"
"18055372245434429386", "南京分行", "443403200809252150", 81722, "2019-06-12", "2012-1-12", "cheque"
"85677933536064768890", "安徽省分行", "221621199010276837", 130862, "2019-06-12", "2010-5-6", "deposit"
"58101067878372281893", "南京分行", "221621199010276837", 187708, "2019-06-12", "2011-8-14", "deposit"
"37795506052246893324", "安徽省分行", "221621200002123858", 12210, "2019-06-12", "2007-10-22", "cheque"
"86966315160974559611", "安徽省分行", "443403198702151939", 127668, "2019-06-12", "2006-3-17", "deposit"
"02152761780916386827", "北京分行", "221621198606014804", 14134, "2019-06-12", "2015-9-22", "cheque"
"82841260030027447668", "北京分行", "443621199911228559", 139972, "2019-06-12", "2009-6-15", "deposit"
"38620007496148075050", "安徽省分行", "410403200806183837", 73023, "2019-06-12", "2007-6-8", "cheque"
"45008140017909506987", "安徽省分行", "410621199902020858", 65198, "2019-06-12", "2017-6-13", "deposit"
"37391962332862450392", "上海分行", "221403199302058371", 151649, "2019-06-12", "2017-8-18", "cheque"
"98161008147156741976", "上海分行", "443621199911228559", 144660, "2019-06-12", "2015-3-19", "deposit"
"10724835911012309138", "上海分行", "410621199902020858", 3634, "2019-06-12", "2006-10-12", "deposit"
"85281238962674106244", "安徽省分行", "443403199008178877", 89465, "2019-06-12", "2009-6-13", "deposit"
"20954774468654804165", "安徽省分行", "443621200602025313", 129093, "2019-06-12", "2006-10-8", "deposit"
"37395987347003951593", "北京分行", "221621198203108554", 174557, "2019-06-12", "2015-12-1", "cheque"
"28209431386481831519", "安徽省分行", "221403198108134823", 126944, "2019-06-12", "2010-5-12", "cheque"
"12581516993722389878", "安徽省分行", "410621199902020858", 19106, "2019-06-12", "2010-11-1", "deposit"
