loanIDX, staf_staffID, bran_branchName, loanDate, loanAmount
"42784979384197420064", "410403199709172224", "BJB", "2019-4-17", 19000
"23903719455725310323", "443403199303218224", "SHB", "2017-5-24", 93000
"37579477623261004908", "443403200504107319", "SHB", "2018-6-18", 21000
"60171341110172205450", "221621198905107539", "SHB", "2020-9-19", 3000
"39732015926176604798", "443403199502132669", "BJB", "2019-7-17", 89000
"85312497559630097552", "443621198501159170", "SHB", "2020-3-12", 68000
"14358674020255473810", "443621199502011295", "AHB", "2020-10-22", 39000
"40292662656233405393", "221403198109280618", "AHB", "2018-5-19", 77000
"79802999240519567053", "410403200902155550", "SHB", "2018-10-5", 50000
"56494966412137899921", "443621199502011295", "BJB", "2017-9-6", 59000
"82317985456476175034", "410403198110069692", "SHB", "2017-2-21", 62000
"12541340056212912219", "221403198109280618", "BJB", "2019-1-3", 52000
"59052085329803740563", "410621200107276415", "AHB", "2020-9-2", 67000
"75420409188011814754", "410621200107276415", "BJB", "2020-3-6", 11000
"24243036862797391298", "443621198104049794", "SHB", "2019-6-9", 20000
"35227769697757359282", "410403200903245450", "SHB", "2017-4-12", 17000
"06248996693729993030", "443621199502011295", "BJB", "2018-2-25", 20000
"56441502603353920996", "410403200012268324", "SHB", "2018-4-11", 24000
"77763766665447384288", "443403198702259772", "AHB", "2019-11-25", 60000
"06210224331235340598", "221403198109280618", "BJB", "2019-4-22", 41000
"20317869117759445088", "221403200610051414", "AHB", "2020-5-20", 93000
"30070471517935094903", "x", "AHB", "2019-3-5", 73000
"45087111323466478829", "410621200601076250", "BJB", "2018-9-14", 78000
"75285821831347109527", "221403200901180086", "SHB", "2018-6-22", 71000
"45656035758858206635", "221403200901180086", "BJB", "2019-5-17", 46000
"42270660854096744562", "443403200504107319", "SHB", "2019-11-22", 8000
"33879105549904448913", "410403200009044801", "SHB", "2017-11-14", 87000
"17955466440849785551", "410621198206245812", "SHB", "2019-9-6", 37000
"62475037188415218230", "221403200901180086", "AHB", "2018-8-9", 52000
"51519300011139394366", "410403198512135051", "SHB", "2017-11-24", 32000
"45279521433751461938", "410403200012268324", "SHB", "2017-11-24", 51000
"25612281568973093542", "443621199303106726", "AHB", "2017-8-13", 2000
"35655988187017196342", "x", "AHB", "2020-10-4", 48000
"08361509808125567060", "443621199303106726", "AHB", "2018-7-1", 8000
"31850689023821562839", "221403200610051414", "BJB", "2019-11-16", 83000
"69892661466661864877", "221621198905107539", "BJB", "2019-2-6", 56000
"49459833287863239259", "410403200309021976", "SHB", "2020-7-26", 16000
"77846273526325923692", "410621200107276415", "SHB", "2018-11-19", 17000
"90348278952596888819", "221403199811277511", "AHB", "2018-4-2", 5000
"59583405938479209349", "410621200712122861", "AHB", "2020-11-26", 49000
"52452364934316652077", "221403199302044423", "SHB", "2018-4-15", 63000
"72566815671474173070", "443621199502011295", "BJB", "2017-7-8", 76000
"01352113511926013597", "443403198702259772", "AHB", "2020-8-11", 72000
"82817367460417969030", "443621198804254814", "AHB", "2019-7-21", 45000
"29933835979460791411", "22140320021103x", "AHB", "2020-1-7", 9000
"88110420931700831006", "443403199411045326", "AHB", "2019-12-6", 63000
"17163225506190192882", "22140320021103x", "BJB", "2017-3-18", 84000
"39710622100995789686", "410403200012268324", "BJB", "2017-12-13", 36000
"54433870872653195226", "22140320021103x", "SHB", "2017-2-25", 94000
"30461932555717964634", "410403200902155550", "SHB", "2017-8-7", 97000
"81322454084058394252", "221403200005044099", "SHB", "2020-11-5", 72000
"61561462901704609404", "410403200810132805", "SHB", "2020-1-15", 45000
"93882460688660966893", "443621199307222546", "SHB", "2017-10-8", 62000
"38900602300875073216", "443403198808289122", "SHB", "2017-4-6", 49000
"45433329029637658136", "221403200005044099", "BJB", "2017-4-5", 87000
"54760415139729379740", "410403200903245450", "SHB", "2018-1-7", 17000
"75229622607336510275", "410403200903245450", "AHB", "2019-7-15", 51000
"52848810149097469458", "410403198512135051", "AHB", "2018-9-21", 93000
"04803275384170580426", "443403200810284069", "AHB", "2019-2-6", 51000
"33980360604324671447", "443403199303218224", "AHB", "2019-4-9", 24000
"86186907349476511971", "221403198109280618", "SHB", "2017-11-18", 62000
"00618895558488174312", "410403200902155550", "AHB", "2019-10-27", 56000
"54010332493916231493", "443403200810284069", "SHB", "2019-12-1", 13000
"30276998337671507010", "410403198905094393", "AHB", "2017-3-25", 100000
"23162600696726432094", "410621200712122861", "SHB", "2019-1-5", 94000
"94105038581108589168", "221403199302044423", "AHB", "2017-2-10", 39000
"15567871755278430408", "410621200712122861", "AHB", "2017-10-11", 29000
"79383907609108827608", "443403198408124005", "BJB", "2020-12-4", 46000
"51175165272629000898", "443403200608115886", "AHB", "2017-6-15", 4000
"13940139387511986716", "443403200502188701", "AHB", "2019-1-5", 68000
"16175580069875305819", "221403200304063143", "BJB", "2020-12-10", 15000
"77671569803617231374", "22140320021103x", "BJB", "2017-7-3", 88000
"24803342005781925614", "410621200107276415", "SHB", "2017-11-24", 16000
"22460459545199928629", "410403199709172224", "AHB", "2019-11-16", 23000
"53846154847540893350", "443403198408124005", "BJB", "2019-12-18", 69000
"16364904487816662082", "410403200009044801", "AHB", "2018-8-5", 12000
"00847497513138883214", "443403198702259772", "SHB", "2019-7-10", 95000
"13971024492055304295", "221403200304063143", "AHB", "2020-11-18", 44000
