cusA_accountIDX, neg_limit
"60752809659831199536", 5000
"44419484387550756060", 10000
"14174955927329992757", 5000
"17412356166315835091", 5000
"02691489713804331785", 5000
"25518174825839300841", 2000
"27924430599060312850", 2000
"13083825926517336674", 5000
"16012645344978841249", 2000
"91506447526566436953", 1000
"95515231658993740937", 10000
"57036661051703301220", 10000
"51804923065416137920", 1000
"11391740539132730783", 2000
"61088172732168959190", 10000
"89802594228643433020", 1000
"15567361868661270166", 2000
"58870485897768987693", 1000
"07852922253871077757", 5000
"71499689188077736303", 5000
"50460411394216427987", 10000
"57942711141115104817", 2000
"61963477645570664697", 5000
"20677423695981553324", 5000
"80338329288343598429", 10000
"21529297073773563771", 2000
"37217231752837011385", 2000
"94882348962603199690", 5000
"20734930875003572775", 10000
"30150253283329400412", 1000
"39973402764410879763", 5000
"71060853663009861662", 1000
"20079865766996851554", 10000
"96219455897923556700", 10000
"51617380776738505146", 10000
"38879725301349771250", 2000
"36815862599740694535", 1000
"53367140841948678726", 2000
"41481274157329563242", 5000
"47649829207440510466", 1000
"31099335992932274299", 1000
"66194173833127719140", 2000
"90410402170682754864", 10000
"42757880741421260070", 2000
"81740068795930001444", 2000
"44638951820016791091", 1000
"00268203524518735362", 10000
"65616249965630630487", 2000
"71524158645501057794", 2000
"88893948611963019797", 2000
"22657568291048185378", 10000
"70316570646311093616", 10000
"33529172323114175884", 5000
"79642055580223318430", 5000
"27891272302401212385", 5000
"00656851411236346492", 5000
"56662355796479527897", 1000
"41125583927967724206", 1000
"60160549134830396592", 10000
"87508336127014388341", 1000
"82279945361435316200", 2000
"34474323293847748950", 2000
"88800317640360879972", 1000
"16666064001433387623", 10000
"50610073001622878595", 2000
"47218005262606181671", 1000
"09365293663200703070", 10000
"78800235063784061660", 2000
"41251667949315476797", 10000
"42499066310375129168", 1000
"89141194481606352500", 2000
"26549505290632149118", 5000
"85701348442663798696", 5000
"68318917184931112832", 2000
"54548556262356224047", 1000
"13284180217811140748", 5000
"96777085192908357475", 5000
"30782561669239747464", 2000
"28351918710359650874", 1000
"16060944543928242076", 10000
"10931841631588271568", 5000
"79455493020689797509", 2000
"04918742049667741501", 10000
"73748439787672542603", 10000
"47470936198145013445", 5000
"62528585130963909003", 1000
"51886832425489284519", 1000
"65685426669545599345", 1000
"75723410552876219353", 10000
"34517430983446163772", 10000
"08917576035562242403", 10000
"08336249005799322527", 2000
"60721744540801877921", 5000
"51829740132367537065", 10000
"60618873687042835741", 1000
"08404513427696827546", 10000
"30155241092083483442", 5000
"27264520026234033142", 5000
"09997175402377612685", 1000
"38000198250389013059", 1000
"28188391952264284831", 2000
"39661177099934016042", 10000
"86853871855674608245", 10000
"24648272422658088027", 10000
"65726745192347931554", 5000
"42216163180255282191", 1000
"10758630448638772980", 1000
"02682853137197177778", 5000
"52078057697953855639", 2000
"22536979423982857152", 2000
"31955189436053973592", 1000
"66636197873532580390", 1000
"34958711439003058157", 10000
"96396367711469305110", 10000
"48107286224967599715", 2000
"84601252476339195420", 5000
"86259043851272138613", 2000
"57961428448297351310", 2000
"99248979122610193437", 2000
"09643525502719357426", 5000
"26330791877322959112", 1000
"54430187716308999921", 2000
"89375683696085607608", 10000
"59034177768143801546", 1000
"06834925389789385643", 10000
"43670236043775814179", 10000
"78097547161961490361", 2000
"59751449407718352867", 1000
"69072438284959256581", 1000
"86917325132444034743", 5000
"29967440824116860866", 1000
"27634353189209040048", 2000
"27382242413600738568", 5000
"26391453180095309015", 2000
"18568382518118671209", 10000
"69746446794781883420", 10000
"16980560133239622762", 10000
"96361364667496886425", 5000
"73030787513933496354", 1000
"24915825171096356648", 2000
"48613407089085397230", 2000
"85171393714238770643", 10000
"79200157693408865683", 2000
"77149359514965246371", 10000
"17884163288234977385", 5000
"56770281357675636101", 5000
"43592837714154251911", 5000
"27629219358513940148", 2000
"36739564386666848988", 5000
"55418460713538684428", 2000
"10451941942967670725", 1000
"15986176719355157124", 2000
"39887665538332506905", 1000
"95418654655547309702", 5000
"11758818830864384745", 2000
"43851271725367885121", 2000
"33104021229377496063", 2000
"44647790705702724592", 10000
"79640926828030897050", 10000
"11550151844177440597", 1000
"38087738504333154465", 5000
"36413195631322737155", 1000
"37183337086214523141", 5000
"77774425475917721215", 10000
"05266225774294041208", 2000
"33988457001225701608", 5000
"11339538918404608242", 2000
"54483961768105516304", 10000
"71187469304939514015", 5000
"40605255860866841202", 1000
"37417868680608028100", 2000
"49225297712625863707", 5000
