accountIDX, bran_branchName, staf_staffID, remain, visitTime, openTime
"91326953222230424457", "AHB", "221621199210043864", 105542, "2019-06-12", "2012-12-21"
"09207967373418999722", "BJB", "410403200903245450", 83480, "2019-06-12", "2012-12-21"
"03145081845011925524", "BJB", "443621198501159170", 132775, "2019-06-12", "2012-12-21"
"08819654332041777299", "AHB", "443621199307222546", 164664, "2019-06-12", "2012-12-21"
"71905637395374258861", "AHB", "410403200309021976", 68702, "2019-06-12", "2012-12-21"
"06390662122773523416", "AHB", "410403198512135051", 176262, "2019-06-12", "2012-12-21"
"81822229800573906495", "BJB", "443621199307222546", 77883, "2019-06-12", "2012-12-21"
"59145994383514925118", "AHB", "410621198601216198", 90286, "2019-06-12", "2012-12-21"
"95551030178080549108", "BJB", "x", 184943, "2019-06-12", "2012-12-21"
"25154887109476047236", "SHB", "443621199307222546", 26446, "2019-06-12", "2012-12-21"
"26932331997886009340", "AHB", "443403200810284069", 179866, "2019-06-12", "2012-12-21"
"42022121104614947016", "AHB", "410403198110069692", 72510, "2019-06-12", "2012-12-21"
"35079085416722525012", "SHB", "221403199010127986", 22310, "2019-06-12", "2012-12-21"
"70555362094680846651", "BJB", "410621200712122861", 135842, "2019-06-12", "2012-12-21"
"66096900965466949821", "BJB", "410403200309021976", 8739, "2019-06-12", "2012-12-21"
"21283381449179229909", "AHB", "410403200012268324", 17431, "2019-06-12", "2012-12-21"
"73750446895130097835", "AHB", "410621198601216198", 188437, "2019-06-12", "2012-12-21"
"43992008699215541084", "SHB", "221403200901180086", 93510, "2019-06-12", "2012-12-21"
"96720950998516974706", "SHB", "443403200608115886", 65960, "2019-06-12", "2012-12-21"
"67408697850913737181", "SHB", "443621198501159170", 49909, "2019-06-12", "2012-12-21"
"86776611884064332824", "BJB", "443403200502188701", 119416, "2019-06-12", "2012-12-21"
"71079765182153970164", "BJB", "410621200712122861", 24273, "2019-06-12", "2012-12-21"
"28197037065896815906", "BJB", "443403200802209764", 167552, "2019-06-12", "2012-12-21"
"15505225924013974060", "BJB", "221403200901180086", 4747, "2019-06-12", "2012-12-21"
"64640785275221848026", "SHB", "443403199303218224", 71108, "2019-06-12", "2012-12-21"
"23660351196904030718", "SHB", "443403199411045326", 44773, "2019-06-12", "2012-12-21"
"93902564839203820457", "BJB", "221403200304063143", 57816, "2019-06-12", "2012-12-21"
"92271386261970083261", "BJB", "410403198905094393", 79217, "2019-06-12", "2012-12-21"
"14934362191406688260", "SHB", "410403200903245450", 157153, "2019-06-12", "2012-12-21"
"36283972527650328712", "SHB", "410621199903138486", 81025, "2019-06-12", "2012-12-21"
"89917035903571753657", "BJB", "22140320021103x", 64039, "2019-06-12", "2012-12-21"
"42966153788043037230", "SHB", "443403199502132669", 177745, "2019-06-12", "2012-12-21"
"37562007692214633207", "AHB", "410403199208254078", 6195, "2019-06-12", "2012-12-21"
"53699768759834489254", "AHB", "443403198702259772", 171384, "2019-06-12", "2012-12-21"
"35582602502150632821", "BJB", "443403198702259772", 116135, "2019-06-12", "2012-12-21"
"01258319641684497173", "SHB", "443403198808289122", 97079, "2019-06-12", "2012-12-21"
"05861701095633184587", "SHB", "221403200304063143", 151516, "2019-06-12", "2012-12-21"
"35307236474379708810", "SHB", "443403198408124005", 7265, "2019-06-12", "2012-12-21"
"68931188821169087234", "BJB", "443403200802209764", 91092, "2019-06-12", "2012-12-21"
"26311303120168944314", "BJB", "410621198206245812", 74053, "2019-06-12", "2012-12-21"
"08676546212133220841", "SHB", "410403200009044801", 114165, "2019-06-12", "2012-12-21"
"23462087386895932962", "SHB", "410621198601216198", 91391, "2019-06-12", "2012-12-21"
"74648983810685996131", "SHB", "410403200012268324", 61755, "2019-06-12", "2012-12-21"
"62491009437385830735", "AHB", "221621198905107539", 74620, "2019-06-12", "2012-12-21"
"18241199124134839597", "BJB", "221403199010127986", 34849, "2019-06-12", "2012-12-21"
"79843167887741715255", "BJB", "443403198808289122", 199655, "2019-06-12", "2012-12-21"
"03424795581180400807", "SHB", "410621200712122861", 44222, "2019-06-12", "2012-12-21"
"52518040601356071482", "BJB", "410403200902155550", 110139, "2019-06-12", "2012-12-21"
"86833655502671065673", "SHB", "410403200810132805", 72110, "2019-06-12", "2012-12-21"
"29811408961716599457", "AHB", "443403200502188701", 22174, "2019-06-12", "2012-12-21"
"31943785368924056540", "BJB", "221403199010127986", 76111, "2019-06-12", "2012-12-21"
"36561347571634324831", "BJB", "221403199811277511", 84567, "2019-06-12", "2012-12-21"
"05927636849803420845", "SHB", "443403200504107319", 4513, "2019-06-12", "2012-12-21"
"07064087922874303445", "BJB", "221403200304063143", 163637, "2019-06-12", "2012-12-21"
"46776886309034484806", "BJB", "410403198512135051", 158777, "2019-06-12", "2012-12-21"
