cusA_accountIDX, currency, interest
"17109478420777063682", "SGD", 1.11
"27924430599060312850", "USD", 1.11
"91506447526566436953", "HKD", 2.23
"30945599321689202449", "HKD", 3.23
"57036661051703301220", "USD", 2.45
"51804923065416137920", "RMB", 2.45
"11391740539132730783", "HKD", 0.80
"61088172732168959190", "HKD", 1.11
"89802594228643433020", "SGD", 2.45
"15567361868661270166", "SGD", 2.23
"54012324699309320072", "RMB", 2.45
"19149829309413365887", "USD", 0.80
"07852922253871077757", "RMB", 2.23
"79172921777442400512", "USD", 0.80
"61963477645570664697", "USD", 0.80
"96690199748372803182", "RMB", 1.11
"94882348962603199690", "USD", 2.23
"20734930875003572775", "RMB", 4.45
"66511809216884654019", "HKD", 4.45
"30150253283329400412", "SGD", 3.23
"39973402764410879763", "SGD", 2.23
"09839362550445693047", "SGD", 3.23
"20079865766996851554", "HKD", 1.11
"36815862599740694535", "RMB", 3.23
"53367140841948678726", "USD", 4.45
"85044388617738788906", "SGD", 3.23
"49841401761800822552", "RMB", 0.80
"32718388341843139713", "HKD", 3.23
"31099335992932274299", "USD", 0.80
"04491140351104407823", "SGD", 0.80
"79236979702417433867", "HKD", 2.45
"90410402170682754864", "HKD", 2.23
"64028140982382185552", "RMB", 2.23
"39787308994590392640", "SGD", 0.80
"42757880741421260070", "USD", 2.23
"81740068795930001444", "RMB", 2.23
"92226350318623158201", "USD", 2.45
"88893948611963019797", "RMB", 0.80
"22657568291048185378", "SGD", 3.23
"33529172323114175884", "HKD", 2.45
"79642055580223318430", "HKD", 1.11
"27891272302401212385", "RMB", 2.45
"00656851411236346492", "RMB", 0.80
"32491945091117195010", "HKD", 1.11
"47640874417533539374", "SGD", 3.23
"41125583927967724206", "HKD", 2.45
"60160549134830396592", "HKD", 1.11
"87508336127014388341", "RMB", 1.11
"88800317640360879972", "RMB", 2.45
"78701954253244005112", "SGD", 0.80
"22379745250943398828", "USD", 2.23
"47218005262606181671", "SGD", 1.11
"88541125907059565616", "SGD", 3.23
"51908984168035367645", "HKD", 0.80
"78800235063784061660", "USD", 4.45
"41251667949315476797", "RMB", 2.23
"14686584168413221444", "HKD", 2.45
"89141194481606352500", "SGD", 2.23
"03219699665059592635", "USD", 2.23
"60009866585814460831", "RMB", 0.80
"51776837705813866661", "SGD", 1.11
"26549505290632149118", "RMB", 2.45
"85701348442663798696", "USD", 0.80
"93413279925506802881", "RMB", 1.11
"68318917184931112832", "SGD", 4.45
"26781345492771313624", "HKD", 4.45
"20812324489577368508", "RMB", 2.23
"43702410708862285200", "USD", 2.23
"54755139213529557554", "SGD", 1.11
"73748439787672542603", "SGD", 2.23
"76482016598096863651", "SGD", 3.23
"51886832425489284519", "RMB", 2.45
"44189531287553183643", "HKD", 2.45
"75321607134197850664", "RMB", 4.45
"71039393881290552759", "USD", 2.23
"75723410552876219353", "SGD", 0.80
"07813347247028905549", "RMB", 2.23
"34517430983446163772", "USD", 2.45
"55308503366747293258", "SGD", 4.45
"80609654652638888964", "HKD", 0.80
"20519395172542387563", "USD", 3.23
"28695041294097390671", "SGD", 3.23
"30702861937475582188", "USD", 2.45
"51829740132367537065", "USD", 3.23
"28701201404952195616", "USD", 2.23
"60618873687042835741", "RMB", 3.23
"08404513427696827546", "SGD", 3.23
"81385136791463284609", "RMB", 1.11
"26813396842124423865", "RMB", 3.23
"68690898419996693651", "USD", 0.80
"27264520026234033142", "RMB", 4.45
"28188391952264284831", "USD", 2.23
"63032957056253654363", "RMB", 2.23
"27581800682904697916", "HKD", 3.23
"10758630448638772980", "RMB", 2.23
"62869725492403761161", "SGD", 1.11
"52078057697953855639", "RMB", 4.45
"13873228769728557329", "SGD", 2.45
"24094696288290962354", "HKD", 2.45
"06827661055992999181", "SGD", 3.23
"80692448731708104085", "SGD", 3.23
"90449555051155312972", "HKD", 2.45
"60478411444515715509", "RMB", 1.11
"57961428448297351310", "SGD", 2.23
"32811866110354860875", "USD", 0.80
"04600299683143948708", "RMB", 2.45
"09643525502719357426", "USD", 3.23
"41934492004225652175", "RMB", 2.23
"54430187716308999921", "RMB", 1.11
"89375683696085607608", "HKD", 0.80
"59034177768143801546", "USD", 0.80
"62291313226666973214", "USD", 2.45
"43670236043775814179", "SGD", 4.45
"83952706275410855133", "SGD", 1.11
"78097547161961490361", "RMB", 2.45
"59751449407718352867", "USD", 0.80
"16870659517837788082", "HKD", 2.45
"85134235512833631407", "RMB", 3.23
"58262254280234346094", "RMB", 3.23
"40649031126184739206", "SGD", 2.23
"27634353189209040048", "HKD", 0.80
"78486600251466457061", "SGD", 3.23
"67945563674211619025", "RMB", 4.45
"26391453180095309015", "RMB", 2.23
"26100130447205467348", "USD", 2.23
"37267367228008890047", "HKD", 2.23
"23011909605154654875", "HKD", 4.45
"16980560133239622762", "USD", 1.11
"73030787513933496354", "USD", 1.11
"49151576357062915467", "HKD", 0.80
"07534768885872761038", "RMB", 2.45
"24915825171096356648", "RMB", 2.45
"48613407089085397230", "SGD", 1.11
"80804326693996875681", "HKD", 0.80
"30370836356927186281", "SGD", 1.11
"79200157693408865683", "SGD", 1.11
"77149359514965246371", "HKD", 2.45
"92235734797948970280", "SGD", 0.80
