loanIDX, staf_staffID, bran_branchName, loanDate, loanAmount
"30047661571375135825", "221403200704209077", "SHB", "2018-11-10", 61000
"02010608592294943048", "410403199912135987", "SHB", "2020-5-10", 44000
"84237310514645366582", "410403198909022969", "AHB", "2017-2-19", 50000
"88534672159484595074", "410621199706040024", "SHB", "2020-11-9", 69000
"57744940927065965755", "410621199706040024", "AHB", "2019-6-6", 87000
"94031390501824797086", "221403198310282003", "SHB", "2019-2-10", 63000
"30277548094911421609", "410403200311109317", "SHB", "2017-9-17", 65000
"35002917383392076915", "443621200701135219", "AHB", "2017-6-23", 78000
"58426693279036507355", "443403199501240257", "SHB", "2019-3-10", 79000
"62337240106730536401", "410403200205137845", "AHB", "2018-10-20", 95000
"67360010789356033304", "221403200605056052", "SHB", "2020-4-25", 56000
"29717202120623968877", "221403200605056052", "AHB", "2019-7-19", 5000
"77300472252227916728", "221403198310282003", "BJB", "2018-9-18", 34000
"07562166798639725548", "443403198401021191", "BJB", "2018-11-3", 54000
"53232661829277541231", "410621199004068996", "AHB", "2020-1-3", 95000
"71475582420820989488", "410403200311109317", "BJB", "2018-3-14", 52000
"65206279115077808965", "410621198701078872", "AHB", "2017-8-12", 100000
"88335879170181974718", "221403198707119110", "AHB", "2020-4-1", 57000
"25975800884096974842", "443403200906142782", "SHB", "2018-12-9", 86000
"88859050877543296909", "221403198402074734", "SHB", "2018-9-12", 51000
"98704136142496112727", "443403200906142782", "BJB", "2018-6-15", 46000
"65079537339982733768", "221403198707119110", "BJB", "2019-11-7", 10000
"96852026735976045442", "221621198804275299", "SHB", "2018-9-15", 9000
"34923717982868089552", "410621199612163479", "AHB", "2020-6-4", 14000
"08038987516752137602", "443403198401021191", "SHB", "2018-9-15", 27000
"51151155040199962038", "443403198002265736", "BJB", "2018-2-23", 87000
"42713724230580424251", "410403201008149306", "AHB", "2018-8-15", 15000
"12396357682634464608", "443621199507283622", "BJB", "2020-6-24", 32000
"12031904826746118720", "410403198909022969", "BJB", "2017-6-24", 19000
"29587025866332663560", "410621199203033794", "SHB", "2018-5-25", 37000
"19889431165672189515", "443621199507283622", "SHB", "2017-12-22", 41000
"90590825464907205098", "410621200812066613", "SHB", "2019-5-2", 54000
"13789280325881479407", "443403200501092511", "SHB", "2019-11-7", 79000
"75377212380825493412", "443621200910222464", "BJB", "2018-9-20", 27000
"93884887608780484491", "221403198310282003", "BJB", "2020-12-22", 76000
"79839882340338065826", "443621199507283622", "AHB", "2018-8-26", 60000
"36855537447329605568", "443621198405243523", "BJB", "2018-5-14", 12000
"60297539698416713225", "443403200501092511", "SHB", "2017-11-18", 4000
"69606915164832865987", "410621198102239516", "BJB", "2019-8-22", 40000
"44277302021812596245", "410403200604220460", "SHB", "2017-4-15", 5000
"02711590384214776923", "410403198502239605", "AHB", "2020-10-14", 12000
"38479793191822535598", "410621200812066613", "SHB", "2019-8-3", 83000
"38351131694848601951", "443621198405243523", "AHB", "2020-11-18", 95000
"88166414949090424489", "410403200602056756", "AHB", "2020-1-5", 21000
"80633156920722596738", "410403198909022969", "SHB", "2017-8-12", 92000
"53542924612990877662", "410621199612163479", "BJB", "2017-10-19", 30000
"90563825686090693447", "410403201003121479", "AHB", "2018-8-27", 27000
"84337664332312262111", "410621199004068996", "BJB", "2020-1-7", 2000
"69452947106110945052", "410403200205137845", "BJB", "2018-4-1", 56000
"03665627305244998662", "410621199706040024", "AHB", "2018-10-10", 17000
"43679994244174864358", "221403198803217246", "SHB", "2018-12-15", 14000
"66264917633908997478", "410621198102239516", "SHB", "2018-2-14", 96000
"99516167362754975093", "410621198003211377", "BJB", "2020-1-26", 64000
"20673233759227204476", "443403200011135482", "AHB", "2017-12-2", 25000
"47753097882885719674", "410621199902257806", "AHB", "2020-2-20", 80000
"08261917115055286048", "443403200011135482", "SHB", "2020-5-26", 24000
"84166335512877586574", "410403200205137845", "BJB", "2020-10-27", 39000
"47842221153700422128", "410621199004068996", "BJB", "2019-11-23", 60000
"48979502949432602059", "443621198609082879", "SHB", "2018-7-15", 82000
"57563502848589286702", "410403200802041533", "AHB", "2020-3-14", 48000
"91261432851395248816", "410403198909022969", "SHB", "2019-5-10", 37000
"61169420181749635606", "410621199004068996", "SHB", "2018-3-17", 58000
"04906086282732425465", "221403198803217246", "AHB", "2017-7-23", 52000
"31079433891806227937", "410621199902257806", "SHB", "2019-1-20", 7000
"77152552416229098851", "443621198609082879", "BJB", "2020-10-22", 57000
"98190176899899358664", "221403200605056052", "SHB", "2020-5-25", 28000
"86265289809138804029", "221403198402074734", "BJB", "2019-9-20", 100000
"79069047721616174645", "410621199203033794", "AHB", "2020-10-4", 59000
"26607523101140440941", "221403200006182494", "BJB", "2017-1-14", 19000
"89403485700837602285", "443403200011135482", "SHB", "2017-5-18", 87000
"58064420503470501896", "221403198310282003", "AHB", "2018-1-22", 34000
"12845448191846475724", "443621200701135219", "AHB", "2019-3-7", 40000
"72501047631635335270", "221403198402074734", "BJB", "2017-3-19", 11000
"54300510863782437989", "443403200906142782", "AHB", "2019-11-4", 28000
"32723128728927688903", "410621199612163479", "SHB", "2020-10-24", 23000
"36835282480897710910", "443621200701135219", "SHB", "2020-4-4", 56000
"18781828768912987275", "410403198909022969", "SHB", "2017-1-7", 7000
"61199270963621441980", "410403198909022969", "SHB", "2019-5-27", 3000
"58449715104302470768", "443621199507283622", "BJB", "2020-2-8", 82000
