staffID, bran_branchName, startWorkDate, staffName, staffPhone, staffAddress
"410403198502239605", "AHB", "2017-6-18", "吴飞", "1587478735806", "郑州"
"410403198909022969", "BJB", "2020-2-20", "宋源", "1364511388093", "合肥"
"410621199706040024", "SHB", "2020-4-9", "赵上", "1886578882983", "合肥"
"443403199502112828", "BJB", "2018-2-25", "宋想", "1580181412567", "合肥"
"410621199902257806", "BJB", "2018-1-12", "温远", "1731501551925", "郑州"
"443403200011135482", "BJB", "2020-8-5", "赵想", "1362912339339", "武汉"
"443621198405243523", "BJB", "2020-10-5", "温一鸣", "1882393343921", "武汉"
"443621199507283622", "BJB", "2017-5-7", "赵上", "1886393218521", "上海"
"410621198807011407", "SHB", "2020-6-19", "吴天乐", "1735129350780", "武汉"
"443621198609082879", "SHB", "2020-2-3", "李大山", "1736232930896", "北京"
"443403200501092511", "SHB", "2020-5-12", "钱远", "1883518476707", "上海"
"410403200802041533", "BJB", "2019-2-21", "宋小牛", "1366510397064", "合肥"
"410621199612163479", "SHB", "2017-10-9", "赵大山", "1739756185892", "合肥"
"221403200704209077", "SHB", "2017-10-7", "王上", "1382307547110", "武汉"
"410403200205137845", "SHB", "2017-5-2", "赵大山", "1732331518748", "北京"
"410403200604220460", "SHB", "2017-9-10", "吴想", "1362501267464", "合肥"
"410621198003211377", "SHB", "2019-12-17", "张源", "1731771611598", "合肥"
"410403199912135987", "BJB", "2018-12-5", "李天乐", "1582944702418", "北京"
"443403198002265736", "BJB", "2020-7-19", "温源", "1887778415977", "合肥"
"221403200006182494", "AHB", "2018-11-11", "温大山", "1889677392367", "合肥"
"221403198402074734", "BJB", "2017-8-19", "张一鸣", "1369101085205", "上海"
"221403198707119110", "BJB", "2019-4-24", "宋源", "1883051038796", "合肥"
"410403201008149306", "AHB", "2020-3-17", "王泽", "1586498684461", "武汉"
"221403198310282003", "BJB", "2018-5-26", "雷清", "1366214249959", "北京"
"443403199501240257", "AHB", "2017-5-20", "温亮", "1732532239686", "北京"
"443621200701135219", "BJB", "2020-3-21", "钱树", "1380524123603", "武汉"
"221621198804275299", "SHB", "2020-4-17", "吴树", "1734374940081", "郑州"
"443621200503161853", "SHB", "2017-4-20", "钱远", "1589610171905", "上海"
"221403200605056052", "BJB", "2019-5-17", "胡树", "1368477520553", "郑州"
"443621199603143902", "AHB", "2019-12-7", "李远", "1386301958413", "郑州"
"221403200812151794", "AHB", "2019-8-20", "温源", "1885983711624", "武汉"
"221403198803217246", "AHB", "2020-4-19", "王凯", "1885071996456", "上海"
"443621199901128865", "BJB", "2020-5-13", "温清", "1887144905158", "上海"
"221621200911224556", "AHB", "2019-6-5", "温亮", "1388898746729", "郑州"
"443403200906142782", "AHB", "2018-11-8", "钱上", "1882464832047", "北京"
"410403200311109317", "SHB", "2018-10-26", "宋天乐", "1380576315584", "郑州"
"410403199605212257", "SHB", "2017-2-18", "宋大山", "1389973940623", "北京"
"443621200910222464", "SHB", "2019-7-21", "宋飞", "1369003956817", "武汉"
"410621199401158755", "SHB", "2018-1-7", "雷天乐", "1730036422098", "北京"
"410621199203033794", "SHB", "2018-2-14", "王泽", "1739384193991", "上海"
"410403200602056756", "BJB", "2017-12-15", "温凯", "1888764046017", "武汉"
"221403199612267010", "BJB", "2018-12-13", "钱小牛", "1738452735350", "北京"
"443403198401021191", "AHB", "2017-1-18", "赵远", "1887830963549", "北京"
"410621199004068996", "SHB", "2019-8-8", "宋飞", "1883488224143", "郑州"
"410621200812066613", "AHB", "2018-3-9", "宋上", "1885503057820", "武汉"
"410621198701078872", "AHB", "2020-12-9", "温源", "1881404422917", "北京"
"410403200209235078", "AHB", "2017-9-22", "张一鸣", "1364037279377", "武汉"
"410403201003121479", "AHB", "2017-8-19", "吴远", "1732922175656", "北京"
"410621198102239516", "AHB", "2017-8-14", "宋飞", "1581684445249", "北京"
"221403199903262148", "AHB", "2020-11-23", "王想", "1883446894346", "郑州"
