cusA_accountIDX, currency, interest
"90683154991658135836", "HKD", 2.45
"97559464486111041542", "RMB", 2.23
"95088063369279852487", "SGD", 2.45
"83739191491533400696", "RMB", 3.23
"28256998050159985752", "SGD", 2.23
"83492776927604255325", "RMB", 3.23
"17420975840117965635", "RMB", 3.23
"65373957517683179606", "USD", 4.45
"25878006553605302477", "USD", 2.23
"99565256951335665630", "HKD", 4.45
"58565303414665866689", "SGD", 0.80
"39406456455313301589", "RMB", 4.45
"48907623537515348929", "RMB", 0.80
"25734326408470204098", "RMB", 1.11
"18998460606834408032", "RMB", 2.23
"08683587494460260926", "RMB", 4.45
"11077488599533014930", "HKD", 3.23
"81571593006196460020", "USD", 4.45
"27497690044063592900", "RMB", 4.45
"43707092387107443800", "SGD", 2.45
"63068541641359276145", "HKD", 1.11
"72736366891044014526", "SGD", 2.45
"39714235741500298504", "SGD", 2.23
"32556498821602305594", "SGD", 0.80
"54050862128276263334", "HKD", 3.23
"16759370258827119073", "HKD", 1.11
"25303490199014528607", "USD", 1.11
"65615440942359578193", "SGD", 1.11
"02551197117546280868", "USD", 0.80
"36997218311360120680", "RMB", 1.11
"87281720701663976939", "SGD", 2.23
"23962419875341437523", "USD", 1.11
"01367959224766723645", "RMB", 0.80
"97259229649779679109", "SGD", 3.23
"02050721936041141690", "HKD", 3.23
"67823806485009333731", "HKD", 0.80
"40183787653244937025", "HKD", 2.45
"15534054011738630208", "RMB", 0.80
"87030213021489737825", "USD", 1.11
"61435547100855950058", "HKD", 1.11
"31262776036122138395", "HKD", 3.23
"23894163228541898787", "USD", 1.11
"62976914156279165405", "SGD", 2.45
"35840492753419257023", "USD", 2.45
"74975270851429895963", "SGD", 2.23
"25096191363240607615", "SGD", 4.45
"63735795985846042922", "HKD", 1.11
"50671573401141986780", "SGD", 2.45
"22379324798330132786", "HKD", 2.23
"68974503737126139614", "USD", 2.45
"20496481288915351013", "USD", 0.80
"95436127667280527533", "USD", 4.45
"12565923990724686741", "SGD", 3.23
"85308095642120220941", "SGD", 0.80
"41633902426918148522", "RMB", 3.23
"33050279209613036754", "RMB", 3.23
"29277050759914633562", "HKD", 1.11
"03686492811222970786", "USD", 3.23
"57363831335919149667", "USD", 2.23
"92118097432153994692", "SGD", 0.80
"06604535911398340719", "USD", 0.80
"16438577817736669215", "HKD", 2.45
"72931838546062573781", "SGD", 1.11
"81193568971578000944", "SGD", 2.23
"95995027128216547497", "SGD", 4.45
"34727766349589418152", "SGD", 4.45
"29410069762620789550", "USD", 2.45
"32559240650026734704", "USD", 0.80
"12673893581109242888", "USD", 2.23
"92541842215479378928", "USD", 1.11
"00435427303360647609", "SGD", 3.23
"54926305409080200153", "USD", 3.23
"17438928897299851330", "SGD", 4.45
"52605571052665487195", "RMB", 0.80
"67979703919495009637", "SGD", 2.23
"34443960991121421776", "SGD", 4.45
"58616951150944348681", "RMB", 3.23
"42464859728461457127", "SGD", 4.45
"60834401617553342265", "SGD", 2.23
"15811416197466189310", "SGD", 0.80
"01516492941947583758", "SGD", 2.23
"17359396277376004967", "USD", 1.11
"00488849024003630651", "HKD", 1.11
"12105075227222078898", "HKD", 0.80
"64799274606451388679", "USD", 1.11
"04557017937230453383", "RMB", 3.23
"38408237911021767425", "SGD", 3.23
"19120760277555220528", "USD", 2.45
"13559611610032446679", "RMB", 0.80
"52443675491094399571", "SGD", 4.45
"66606678510344768592", "SGD", 2.45
"73658172296883499626", "HKD", 2.45
"21523896692523781626", "SGD", 0.80
"18425796398226427112", "SGD", 1.11
"36906477184569805586", "HKD", 0.80
"67980391136186027014", "HKD", 4.45
"37864139841322655142", "HKD", 3.23
"06310495601441679684", "SGD", 2.45
