loanIDX, staf_staffID, bran_branchName, loanDate, loanAmount, loanStatus
"10412487778604609254", "443621199710116492", "北京分行", "2010-5-8", 95000, 0
"91535286412349557283", "410621199408064447", "北京分行", "2017-6-6", 40000, 0
"48123423011858494524", "221621199304075691", "安徽省分行", "2014-6-2", 68000, 0
"05727012028504036556", "221621201009183831", "北京分行", "2015-7-4", 90000, 0
"06561683790324583160", "443403200004056044", "安徽省分行", "2014-10-15", 60000, 0
"48265698041641324279", "221403199104207061", "南京分行", "2013-2-21", 63000, 0
"57595328622769998201", "443403200202197606", "安徽省分行", "2014-10-17", 60000, 0
"25872782891625588526", "410403198201268777", "安徽省分行", "2016-10-26", 54000, 0
"38060246294375937953", "443621198501066892", "南京分行", "2017-4-20", 23000, 0
"83324268124465301908", "410403199107084070", "上海分行", "2012-12-21", 7000, 0
"11951651586203307705", "221621201009183831", "南京分行", "2014-9-26", 64000, 0
"09244598013278326146", "443403200110243402", "安徽省分行", "2015-11-21", 3000, 0
"73114493408301009438", "221621200911083483", "安徽省分行", "2017-6-1", 38000, 0
"23709156327645269364", "443621199304274941", "上海分行", "2010-10-23", 57000, 0
"63578579835822005017", "443621200907278414", "北京分行", "2010-9-12", 99000, 0
"34494357799461229200", "443621199912215954", "安徽省分行", "2017-12-11", 64000, 0
"41264714869964364369", "221403199206049468", "上海分行", "2016-4-8", 91000, 0
"98258541671778956566", "221403200012100777", "南京分行", "2013-4-20", 22000, 0
"19092462419857622481", "221403200306255381", "上海分行", "2013-3-15", 23000, 0
"60854079531047364392", "443403200004056044", "南京分行", "2013-9-22", 42000, 0
"15514837855087520156", "221403200412072062", "南京分行", "2015-8-7", 46000, 0
"80762002901707376280", "410621199111136238", "安徽省分行", "2012-11-25", 33000, 0
"52070403643967381828", "221621198202253940", "南京分行", "2010-7-26", 15000, 0
"50103414387025667891", "443621198501066892", "上海分行", "2010-1-4", 4000, 0
"74680428236280922659", "443403200209099140", "北京分行", "2011-6-19", 66000, 0
"70317454440403734017", "410621200708071145", "安徽省分行", "2013-12-4", 91000, 0
"78808321411637885864", "443621200107057408", "安徽省分行", "2014-5-14", 77000, 0
"06545237049054140041", "443621199304274941", "北京分行", "2017-2-12", 21000, 0
"74098980152551775128", "221621201009183831", "北京分行", "2014-12-12", 25000, 0
"89271605926227227153", "443621198501066892", "南京分行", "2010-6-12", 3000, 0
"87263433515273516317", "443403200202197606", "南京分行", "2011-9-1", 97000, 0
"19208774225258544890", "410621199111136238", "安徽省分行", "2012-9-27", 53000, 0
"16822291899929410952", "443403200511014945", "安徽省分行", "2014-9-4", 67000, 0
"75707215195309624672", "221403199206049468", "安徽省分行", "2017-2-12", 21000, 0
"38944311983317645196", "443403199208237595", "安徽省分行", "2013-6-12", 82000, 0
"81356782948599154917", "443403200402180089", "上海分行", "2012-2-14", 47000, 0
"96839562132433523109", "221403200306255381", "上海分行", "2012-5-17", 83000, 0
"24858620856874846157", "443403200402180089", "南京分行", "2016-8-21", 32000, 0
"39666559149913988935", "221403199104207061", "南京分行", "2014-11-22", 11000, 0
"59762944374860437172", "410403199107084070", "上海分行", "2017-9-15", 60000, 0
"77573934480628739474", "221403198212022029", "北京分行", "2012-9-24", 91000, 0
"20736517840418037423", "410621198005075007", "上海分行", "2015-10-17", 73000, 0
"96853446921230004444", "221621198507285283", "北京分行", "2016-1-13", 82000, 0
"76364115880317036747", "443403200004056044", "北京分行", "2013-7-3", 10000, 0
"83790143373671030523", "443403200110243402", "南京分行", "2014-11-27", 58000, 0
"11363691974634553086", "221403198411201309", "上海分行", "2012-1-8", 20000, 0
"80892680416641291533", "443621200907278414", "北京分行", "2012-11-14", 54000, 0
"09256606270214722205", "221403198212022029", "上海分行", "2015-5-6", 97000, 0
"51046091781357575907", "221403199104207061", "南京分行", "2015-11-23", 29000, 0
"53510314674754826949", "221621198202253940", "南京分行", "2010-9-23", 90000, 0
"45193912206910366666", "443621200907278414", "上海分行", "2016-1-19", 71000, 0
"98052487378264385209", "410621198905097631", "北京分行", "2017-4-12", 66000, 0
"69516950112737553309", "443621200907278414", "安徽省分行", "2010-12-3", 93000, 0
"72445578513993478221", "221621199304075691", "安徽省分行", "2015-4-22", 43000, 0
"50824965870329613577", "443621200309191562", "上海分行", "2014-11-21", 91000, 0
"07411212468676597529", "410403198410108868", "上海分行", "2014-7-14", 95000, 0
"84630060448289858268", "443403198006021491", "北京分行", "2010-5-21", 61000, 0
"25830362112434392036", "410403199107084070", "安徽省分行", "2017-3-1", 92000, 0
"38737587243787490730", "221403198212022029", "上海分行", "2013-12-16", 42000, 0
"45358347308034576443", "221621198507285283", "南京分行", "2016-9-16", 92000, 0
"09097926649588590610", "221621199209143628", "安徽省分行", "2013-8-9", 49000, 0
"33236793682116666250", "443621199407285622", "上海分行", "2016-9-10", 85000, 0
"05230113722391695065", "443403200511014945", "安徽省分行", "2010-1-4", 20000, 0
"34713969721754558500", "410403200901191838", "安徽省分行", "2017-5-6", 69000, 0
"18341393198299673734", "221621198202253940", "上海分行", "2010-11-12", 34000, 0
"52411835548183109541", "443403200202197606", "北京分行", "2015-6-6", 42000, 0
"47688598707744721325", "443621200309191562", "南京分行", "2016-7-9", 28000, 0
"54349242777098483331", "221403198411201309", "安徽省分行", "2013-7-19", 90000, 0
"23558115624389762390", "410621198905097631", "上海分行", "2013-12-1", 96000, 0
"39170770783834702007", "443403198006021491", "北京分行", "2012-2-26", 66000, 0
"67121490779741262071", "410621199111136238", "安徽省分行", "2014-1-11", 10000, 0
"99488827710556515786", "410621198308256293", "南京分行", "2017-10-15", 71000, 0
"63499620828460157593", "410621200708071145", "安徽省分行", "2011-9-17", 22000, 0
"38101939095093876804", "443403200209099140", "安徽省分行", "2014-11-17", 3000, 0
"05374385044366093489", "410621200708071145", "上海分行", "2011-4-4", 7000, 0
"17019098335794155368", "443403200212239378", "安徽省分行", "2017-1-7", 99000, 0
"15360183362807827890", "443403200511014945", "北京分行", "2010-9-5", 74000, 0
"09342751855271312561", "221403200407100105", "安徽省分行", "2014-12-18", 77000, 0
"30172961813613383404", "443621200107057408", "南京分行", "2010-9-4", 13000, 0
"84244886941271751785", "221403198411201309", "上海分行", "2014-5-11", 3000, 0
"12773503040557082066", "221403198411201309", "南京分行", "2015-11-5", 45000, 0
"17033392266352520427", "410621200708071145", "南京分行", "2017-8-26", 78000, 0
"26550505163013262607", "221621201009183831", "南京分行", "2010-6-5", 43000, 0
"86006466980200539352", "410621198905097631", "安徽省分行", "2017-9-25", 82000, 0
"21845499661271768062", "410621198301095931", "上海分行", "2017-7-19", 95000, 0
"11434093857451019531", "221621199209143628", "南京分行", "2015-9-12", 44000, 0
"38312662028323622139", "410621198005075007", "上海分行", "2012-2-14", 53000, 0
"65513033055833088152", "443403200212239378", "南京分行", "2015-4-24", 5000, 0
"31799033119658672729", "443403198310229240", "安徽省分行", "2017-8-25", 7000, 0
"27490353497227300203", "410621199111136238", "南京分行", "2015-12-27", 91000, 0
"93618834680229045505", "443403200110243402", "上海分行", "2010-8-9", 63000, 0
"73225312540341421847", "443621199912215954", "北京分行", "2012-4-18", 88000, 0
"84390975265799832967", "221403200412072062", "南京分行", "2016-9-26", 27000, 0
"22150292879806842637", "410403199803016507", "北京分行", "2013-1-15", 28000, 0
"92993473321907472321", "410403198410108868", "南京分行", "2010-11-1", 82000, 0
"84611037427413808251", "410621198308256293", "上海分行", "2016-6-8", 15000, 0
"51222937176975475859", "443403198407289651", "上海分行", "2014-8-9", 10000, 0
"69018261888438256847", "221403200306255381", "上海分行", "2011-10-18", 53000, 0
"70295109435106694967", "443403198107100483", "安徽省分行", "2017-1-11", 55000, 0
"89821713714525433926", "410403198410108868", "北京分行", "2012-11-3", 93000, 0
"95323664139312669079", "443403198107100483", "北京分行", "2011-10-15", 43000, 0
"73918034103459096819", "221403200012100777", "北京分行", "2012-12-13", 24000, 0
"46679417700986564101", "443621200107057408", "南京分行", "2011-1-4", 50000, 0
"60794667414171312387", "443403200402180089", "北京分行", "2016-10-16", 6000, 0
"36331300030024063758", "410621199111136238", "南京分行", "2017-8-7", 100000, 0
"88113931803386328891", "443403200209099140", "安徽省分行", "2017-9-8", 81000, 0
"01849431447904379211", "410403200901191838", "南京分行", "2013-7-19", 87000, 0
"65317288618564434253", "221403199104207061", "南京分行", "2011-3-16", 38000, 0
"85583691365461354999", "443403198006021491", "北京分行", "2017-5-5", 94000, 0
"42866290215253357714", "221621198202253940", "北京分行", "2012-12-18", 16000, 0
"21654321390751013016", "221403198411201309", "安徽省分行", "2011-10-25", 93000, 0
"93433373375457879453", "410403199107084070", "北京分行", "2011-5-13", 3000, 0
"89643562937495028561", "410403200107255907", "上海分行", "2016-3-16", 12000, 0
"87947840703045231055", "410403199412135767", "上海分行", "2013-4-18", 21000, 0
"22432542461883398186", "221403200407100105", "南京分行", "2015-3-26", 84000, 0
"98785957306812899281", "410403199803016507", "上海分行", "2010-6-16", 33000, 0
"49065001049270835318", "410403199803016507", "南京分行", "2017-4-14", 80000, 0
"62786290436326071679", "410403199412135767", "安徽省分行", "2014-7-8", 30000, 0
"84805033646754282231", "221403200012100777", "上海分行", "2012-12-11", 15000, 0
"15819308396074781772", "221621201009183831", "安徽省分行", "2014-9-4", 33000, 0
"67844606295102826705", "410621198301095931", "上海分行", "2012-8-17", 13000, 0
"51186030187865690828", "443621200907278414", "上海分行", "2014-8-5", 8000, 0
